Nick Name,ชื่อภาษาไทย,Name,Club / สโมสร,Position,Date Birth,Year brith,POS,Goal
Praw,ศิริกาญจน์ พยัคเนตร,SIRIKAN PHAYAKNET,Bangkok FC,Defensive Midfiled / กองกลางตัวรับ,1998/6/11,1998,MF,0
Pui,พิสมัย สอนไสย์,PITSAMAI SORNSAI,Taichung Blue Whale,"Forward / กองหน้า,Center back / เซ็นเตอร์",1989/1/19,1989,DF,0
Rooney,จิราภรณ์ มงคลดี,JIRAPORN MONGKOLDEE,Guangxi Pingguo Football Club,Forward / กองหน้า,1998/8/13,1998,FW,2
Rush,รีแอนท์ รัช,Rhianne Rush,Rugby borough WFC,Midfiled / กองกลาง,,2003,MF,0
Sakura,พริมา โอวากิ นิกรณรงค์,PRIMA OWAKI NIKORNNARONG,Phranakorn Women Team,Goalkeeper / ผู้รักษาประตู,2006/5/24,2006,,0
Salah,อรพินท์ แหวนเงิน,ORAPIN WAENNGOEN,BGC-College of Asian Scholars,"Left Wing / ปีกซ้าย,Attacking Midfield / กองกลางตัวรุก",1995/10/7,1995,MF,0
Sangjun,แสงจันทร์ ฮอร์นูเวอร์,SANGJUN MAI HORNEWER,Mariestads Bols FF,Midfiled / กองกลาง,,1998,,0
Siri,อริชา ศิริช่าง,ARICHA SIRICHANG,Mariestads Bols FF,Right Wing / ปีกขวา,,2004,,0
Som-O,ญาดา เซ่งย่อง,YADA SENGYONG,Nakhonsri Sports School,Goalkeeper / ผู้รักษาประตู,1993/9/10,1993,GK,0
Team,กาญจนาพร แสนคุณ,KANJANAPORN SAENKHUN,BGC-College of Asian Scholars,Center back / เซ็นเตอร์,1996/7/18,1996,DF,0
Tee,สกุลการต์ ชุมภูแสง,SAKUNKAN Chompooseang,Kasem Bundit,Center back / เซ็นเตอร์,2005/6/6,2005,DF,0
Tiff,ทิฟฟานี่ ดารุณี สอนเผ่า,Tiffany Darunee Sornpao,Brøndby IF,Goalkeeper / ผู้รักษาประตู,1998/5/22,1998,GK,0
Toey,ธัญชนก ชื่นอารมณ์,THANCHANOK CHEUNAROM,Chonburi Women FC,Center back / เซ็นเตอร์,2006/6/30,2006,DF,2
Tongar,ธวันรัตน์ พรมทองมี,THAWANRAT PROMTHONGMEE,Chonburi Women FC,Attacking Midfield / กองกลางตัวรุก,2004/11/29,2004,MF,5
Tonnam,จุไรพร ใจมูลวงศ์,JULAIPORN JAIMULWONG,Chonburi Women FC,Left Back / เเบ็คซ้าย,,2007,DF,0
VIEW,พรพิรุณ พิลาวัน,PHONPHIRUN PHILAWAN,BGC-College of Asian Scholars,Right Back / เเบ็คขวา,1999/4/8,1999,,0
View,โชติมณี ทองมงคล,CHOTMANEE THONGMONGKOL,Bangkok FC,Goalkeeper / ผู้รักษาประตู,1999/1/12,1999,GK,0
Waew,ชฎานุช ตันติภาธร,CHADANUCH TANTIPATHON,Kasem Bundit,"Forward / กองหน้า,Left Wing / ปีกซ้าย",,2002,FW,0
Yee,เสาวลักษณ์ เพ็งงาม,SAOWALAK PENGNGAM,Taichung Blue Whale,Forward / กองหน้า,1996/11/30,1996,FW,5
Yim,ริญญาภัทร์ มูลดง,Rinyaphat Moondong,Chonburi Women FC,Attacking Midfield / กองกลางตัวรุก,2007/6/19,2007,FW,0
Yumi,กัญญารัตน์ อาอิกว่า,KANYARAT AIKAWA,Phranakorn Football Club Women,Right Back / เเบ็คขวา,,2002,,0
